experiment,subject,date,age,gender,payoff_scheme,context,trial,intervening,response,accuracy,partner_action,total_payment,contacts
1,2,2011-01-31,30,Male,Standard,Neutral,78,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,79,8,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,80,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,81,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,82,10,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,83,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,84,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,85,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,86,12,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,87,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,88,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,89,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,90,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,91,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,92,10,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,93,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,94,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,95,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,96,12,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,97,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,98,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,99,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Neutral,100,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,111,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,112,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,113,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,114,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,115,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,116,NA,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,117,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,118,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,119,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,120,NA,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,121,4,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,122,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,123,4,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,124,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,125,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,126,12,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,127,7,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,128,15,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,129,17,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,130,9,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,131,4,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,132,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,133,4,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,134,6,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,135,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,136,12,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,137,7,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,138,15,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,139,17,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,140,9,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,141,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,142,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,143,7,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,144,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,145,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,146,12,1,0,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,147,7,0,0,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,148,11,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,149,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,150,11,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,151,8,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,152,10,1,0,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,153,7,0,1,Defect,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,154,6,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,155,10,1,1,Cooperate,7.85,441
1,2,2011-01-31,30,Male,Standard,Cooperation,156,12,1,1,Cooperate,7.85,441
